Directors,Film ID
Peter Yates,3cf23d0c-6db3-4107-85bf-9416b8ea75ff
Bruce Beresford,a7ce9a76-c855-4559-8100-17e45efa32da
Milos Forman,eae6dbc2-eeb2-428f-a591-0edebbd0c579
Roland Joffé,6ac6765b-1aae-4bdf-8d0e-3b70b695a185
David Lean,47237a83-cdd6-4b9f-8d52-a1ceeef87a1f
Robert Benton,62697f02-1274-4648-962e-44b423322cf5
Norman Jewison,5c207c3e-8e9c-4b50-a2e6-045cca40862a
Sydney Pollack,13188c13-9d17-47b3-951d-02210617670d
Steven Spielberg,529887f4-f40c-4df4-bde7-61edbc3b83ef
Hector Babenco,01b3d4bc-21ef-4792-8b0b-587b77b165e6
Peter Weir,4b7f540c-15bc-4304-99cb-8e71b4aeb986
Oliver Stone,7e6ac04e-1578-40f4-a38d-62fd5169e065
Randa Haines,c60692a0-d167-403e-b91e-b928c84a82ab
Woody Allen,d93370e0-15f5-4332-8f53-934c116db5f2
Roland Joffé,25e4f98b-6c66-4073-8298-412c4ef204b8
Bernardo Bertolucci,451afb73-2c85-47f1-ac5b-f9989f0c7519
James L. Brooks,38fa3d70-d315-4777-aac6-79067a742e28
 James A. Brooks,38fa3d70-d315-4777-aac6-79067a742e28
Adrian Lyne,8b29c745-1a07-4bd5-881b-66dd81fe33ac
Norman Jewison,54bb0a14-14b0-4726-a85c-07f6bc91b858
Barry Levinson,fffb86d7-7db1-427c-866c-06a2e79d745a
Lawrence Kasdan,b803316c-8926-4441-b44e-a13a70367c77
Stephen Frears,dda54969-86a7-475b-a0f3-80c6ce522d0f
Alan Parker,f81a878d-fce0-4d2c-934e-0df851bf826c
Mike Nichols,ebabac08-be22-4207-a0ab-436d1e3c2b63
Oliver Stone,a08e135b-07af-4bb9-a9cb-ff293f1372d3
Peter Weir,ed614f84-1f17-42bb-8c65-64c484d8ad4f
Phil Alden Robinson,5f90d9e7-f6e0-421b-845f-84d81ddbec9e
Jim Sheridan,49e21fd0-9d51-4006-9ee6-7518fba27201
Penny Marshall,2605a134-1217-4ae4-bf30-43d97858e924
Jerry Zucker,5e760389-af46-424d-bde2-405623e9ae86
Jonathan Demme,a6694bfa-4746-421e-bfab-5dd4a062b942
Gary Trousdale,9b075c78-d15a-46a2-acf2-cfe6e3b3f946
Barry Levinson,dad4cc76-9f17-434e-8d0d-58efece318b8
Oliver Stone,b3cd9be4-89eb-4ab7-8e0f-8740d4cad197
Barbra Streisand,1d71e707-d959-4ead-806c-9bb20f42bf3c
Clint Eastwood,2ec120ec-af89-47c0-a5de-ee0f0789cf1b
Neil Jordan,1035b815-61a1-4381-bbee-4e2bfeff00b5
Rob Reiner,87a4b35b-0e2f-4a81-8563-a30239451080
James Ivory,02cd0473-5c6d-4537-8e92-e3c081ff133c
Martin Brest,9da93e60-2304-4bc0-86e7-e76094b38c1e
Steven Spielberg,cb4bf724-69a8-4c3a-9334-de33c424441e
Andrew Davis,51603e98-58cc-49a1-97ea-23a78ca69543
Jim Sheridan,1bd29323-753e-4cad-83e9-1994cd8e5c05
Jane Campion,d7abff59-adc3-4845-bf3d-77b1a109b731
James Ivory,c4058de8-5d1f-4a0c-afdf-6e15bcb0d865
Robert Zemeckis,f93d65fb-33ab-4b66-9367-a50edabc2d3e
Mike Newell,7c08aab3-e45c-4ba4-ba1a-fd30a67a320d
Quentin Tarantino,8fc72f03-3f8e-4fc6-9231-ef6474c20433
Robert Redford,cf8b285f-bd11-4433-88c4-37c897fec130
Frank Darabont,995644f5-255c-4564-a647-7d0c8ccc17bb
Mel Gibson,67a299f8-aabe-4cde-b74e-e71136632ea3
Ron Howard,e0087fa7-4e07-4eb8-9397-b678d99ce8cb
Chris Noonan,188f9551-fd40-473e-99da-688378336384
Anthony Minghella,30efb856-db60-4652-a757-97ae45337801
Joel Coen,f85a45ca-740d-4a6f-9506-6c57321fe04d
 Ethan Coen,f85a45ca-740d-4a6f-9506-6c57321fe04d
Scott Hicks,a300b5d0-bde2-49d7-9456-ead55c4539a7
James Cameron,e7dc77ed-e48d-4cc4-9951-64802f947ce2
James L. Brooks,336cbfef-4f00-4c5c-ab6a-6b42e217a150
Peter Cattaneo,7f31cb60-c7dd-42f0-9f70-a3134c3237f4
Gus Van Sant,3020a81f-9d77-4d3a-91b5-bbd32cad2aff
Curtis Hanson,3cd18a77-0296-46a5-b092-b8f85298bc3a
John Madden (II),fa9d4ada-fefc-4e5c-a485-799c66b69fc8
Shekhar Kapur,cbcd4555-61ac-4558-9360-76533048b8f1
Steven Spielberg,fcdb5a05-a025-412c-ad43-5af72cb3a5a7
Terrence Malick,3f1dd2d1-b8d0-48f6-9a80-6ccf384c9887
Sam Mendes,393ea3e0-1e32-4c65-8401-e36ab93bf22c
Lasse Hallstrom,3c4ca5f5-080c-4580-b976-cc524daaca09
Frank Darabont,8cb5515b-b9e6-4091-8381-c399ea29d16c
Michael Mann,2b4faadc-b2c8-4b62-81f4-434109efd8f2
M. Night Shyamalan,21b54a15-eca1-4777-b01f-1ef88402d8ab
Ridley Scott,3e67a3b9-f24a-420b-b9f8-78870126e1df
Lasse Hallstrom,8886c9d4-e3e8-4471-a859-a3c7d9504b00
Steven Soderbergh,06d3d335-5b97-4d11-8c20-ef9b39fa1a07
Steven Soderbergh,50dc035c-aa8c-4ae7-b590-8de1202c6ae3
Ron Howard,69218a0a-fbd1-4a2b-a19b-fc194d43d435
Robert Altman,50dff062-b330-46b8-b529-19794302e949
Todd Field,af8027ac-3084-497a-b1e1-a5405213a6e3
Peter Jackson,c604e2a8-7845-420e-9d8f-b3919b637b67
Baz Luhrmann,2b0fed46-3cba-42a0-805e-776d022c38c8
Rob Marshall,5ca65d3f-4b1e-4c9f-a629-06f111c3c7c2
Martin Scorsese,e70f19b1-f6f2-4a8e-81b5-d5f16c73f4ff
Stephen Daldry,51a57b94-2340-408a-81aa-3f4a4acc841c
Peter Jackson,8e3c29ae-fb18-4813-a3af-d2d8cb071954
Roman Polanski,1ffecc42-aab2-4688-924e-dc759598b98e
Peter Jackson,7591962a-1d5a-48dd-a362-8546b21ced73
Peter Weir,41879be1-9006-4484-a325-aa2cc29d2894
Clint Eastwood,45a52a04-0915-4a4d-8034-8fb1b2811258
Gary Ross,2f1c775f-7d85-41a3-9ab1-1e99cfae4b94
Clint Eastwood,a360a577-fb0b-4bd2-ae39-35fb5dbb3deb
Martin Scorsese,90b4e270-b686-4bf2-9fab-2b01b7aa3dd9
Marc Forster,19cc6810-a1c4-4d0d-a89a-d0d74c2755da
Taylor Hackford,2fbdbfe1-f830-4ddd-bd17-6648c2b9c9bb
Alexander Payne,c5601ba2-1104-46c1-8c61-74bc9fd90e73
Paul Haggis,4585c429-08f0-4e20-8b9d-d6dcc8fcfbe1
Ang Lee,dd71a463-36f8-441f-926c-6f93f4ff9141
Bennett Miller,258c1c0d-0b7d-4efb-b5a2-ba3b5d0baf88
Steven Spielberg,fb74c6a2-d107-4507-bbf1-819e9daa27ae
Martin Scorsese,bc73e784-5ad5-45b4-a7b4-132f0ffade15
Alejandro González Iñárritu,03a8d27b-c5bd-4002-bf8e-df24cfd96c86
Clint Eastwood,7e651506-c75d-403b-9673-b4bc77a84ef2
Jonathan Dayton,16583578-4e99-4999-ab66-9de7d7efc495
 Valerie Faris,16583578-4e99-4999-ab66-9de7d7efc495
Stephen Frears,348637e8-bc7c-4d44-8b01-7067023960dd
Joel Coen,29a90339-c5f5-4022-8b33-ea349c4b1bd9
 Ethan Coen,29a90339-c5f5-4022-8b33-ea349c4b1bd9
Joe Wright,5b42aceb-a4cb-4897-a376-712e66946cea
Jason Reitman,e41e7111-830b-46a2-93fb-1250a5554bbe
Tony Gilroy,25f1acab-c833-4f4d-ad57-1a283707fbda
Paul Thomas Anderson,41c2923e-f31c-47e4-9be8-e6a447a7d87e
Danny Boyle,04b5c110-03a9-43dd-ada0-9d5ec5a2b140
David Fincher,20341ee5-10fc-422f-80a8-2285d2a720c3
Ron Howard,70d1eaaa-04ef-40fa-83eb-c76f9924538a
Gus Van Sant,206da0df-8b6f-4ca0-8ced-f05b683b63ae
Stephen Daldry,2a998534-5479-42e2-bf17-fcf8fcdeab51
James Cameron,62882251-9304-4fec-9fa3-b3d20f9574f5
John Lee Hancock,7a30c0a9-58fa-41f7-90fd-f85a2c9979d1
Neill Blomkamp,8f06e9f9-d006-4674-b3c1-62406652630a
Lone Scherfig,6651de34-a337-4395-8797-2f408016fafa
Quentin Tarantino,703f43ee-ac54-4db6-838b-9bb256ad85fc
Roger Deakins,700a9b52-7949-432b-b650-6a190328e137
 Joel Coen,700a9b52-7949-432b-b650-6a190328e137
 Ethan Coen,700a9b52-7949-432b-b650-6a190328e137
Linn Patrick,91050f20-1d70-445d-af55-9153f4477c66
 Pete Docter,91050f20-1d70-445d-af55-9153f4477c66
 Bob Peterson,91050f20-1d70-445d-af55-9153f4477c66
 Peter Docter,91050f20-1d70-445d-af55-9153f4477c66
Jason Reitman,079dec92-de45-4395-b058-de3943fb90ce
